Time,Date,Year,Month,Month_Num,Country,Value ($US)
August 2024,2024-08-01,2024,August,08,Mexico,43748216491.0
September 2024,2024-09-01,2024,September,09,Canada,34633304379.0
September 2024,2024-09-01,2024,September,09,Mexico,44155009199.0
October 2024,2024-10-01,2024,October,10,Canada,34463328989.0
October 2024,2024-10-01,2024,October,10,Mexico,45492385468.0
November 2024,2024-11-01,2024,November,11,Canada,33438102056.0
November 2024,2024-11-01,2024,November,11,Mexico,42248808266.0
December 2024,2024-12-01,2024,December,12,Canada,35457098576.0
December 2024,2024-12-01,2024,December,12,Mexico,39224887579.0
2025 through March,2025,2025,Annual,00,Canada,108930786233.0
2025 through March,2025,2025,Annual,00,Mexico,131299162743.0
January 2025,2025-01-01,2025,January,01,Canada,38338463539.0
January 2025,2025-01-01,2025,January,01,Mexico,41678591417.0
February 2025,2025-02-01,2025,February,02,Canada,34924705129.0
February 2025,2025-02-01,2025,February,02,Mexico,41638739522.0
March 2025,2025-03-01,2025,March,03,Canada,35667617565.0
March 2025,2025-03-01,2025,March,03,Mexico,47981831804.0
